iso,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,gfw_gross_emissions_co2e_all_gases__Mg
BES,2004,0.297395552,106.8737693
BFA,2004,8.605090964,32915.84874
BGD,2004,4282.539726,1998466.55
BGR,2004,8170.466307,2747290.462
BHS,2004,588.0993715,138724.4154
BIH,2004,4121.820011,1611315.752
BLM,2004,0.146597992,34.21884795
BLR,2004,38596.68301,11491508.01
BLZ,2004,4312.259674,1827038.329
BMU,2004,0.652759236,181.9525899
BOL,2004,203251.4841,90534338.21
BRA,2004,3848770.79,1887603880
BRB,2004,8.319537711,2905.848793
BRN,2004,1197.136196,714982.8209
BTN,2004,1013.177804,571903.5254
BWA,2004,50.65776501,9079.968637
CAF,2004,14588.89728,7264504.449
CAN,2004,2706458.872,910616230.6
CHE,2004,3829.659122,1743959.139
CHL,2004,85728.78243,28375261.82
CHN,2004,501543.7961,187309332
CIV,2004,48048.33722,18549827.73
CMR,2004,23003.29793,11888603.32
COD,2004,400044.274,219119058.5
COG,2004,13832.85006,6701578.365
COL,2004,253840.0087,131694533.3
COM,2004,40.38383805,20944.1032
CPV,2004,0.59513159,0
CRI,2004,9767.049736,4449843.297
CUB,2004,21973.72747,6238725.461
CUW,2004,0.601840548,125.6218724
CYM,2004,47.10307624,17282.79117
CYP,2004,87.55564101,21442.3446
CZE,2004,13453.69086,5584765.477
DEU,2004,44939.9818,20318859.45
DMA,2004,79.35513134,44955.53977
DNK,2004,2413.812853,633763.5851
DOM,2004,19387.94135,7819147.877
DZA,2004,4374.159388,1175226.292
ECU,2004,37249.86389,20396715.22
EGY,2004,101.4492395,26093.97905
ESP,2004,67273.87562,19091421.13
EST,2004,18106.2207,4248309.024
ETH,2004,13396.26216,5971135.638
FIN,2004,146602.3462,28535263.49
FJI,2004,2079.813684,1081058.721
FRA,2004,76134.34456,30416114.78
GAB,2004,9981.655614,5718254.049
GBR,2004,24846.81263,9563114.824
GEO,2004,1967.062715,800122.1767
GGY,2004,0.100761849,24.95489692
GHA,2004,17625.24051,7676597.766
GIN,2004,17158.3261,5885725.425
GLP,2004,191.1700125,77444.63642
GMB,2004,63.0847225,18742.61564
GNB,2004,3539.10216,1135527.578
GNQ,2004,421.4307721,237134.0952
GRC,2004,6813.690617,1742843.081
GRD,2004,631.0175742,367713.6443
GTM,2004,56448.60918,24167736.89
GUF,2004,4805.025467,3542319.409
GUY,2004,4062.36701,2605371.075
HKG,2004,18.88890724,7280.012239
HND,2004,26455.07106,11676211.32
HRV,2004,6727.12796,2384197.187
HTI,2004,2382.72801,859562.8758
HUN,2004,12008.50913,4402991.093
IDN,2004,1289042.657,976271170.4
IMN,2004,8.57891682,2700.633431
IND,2004,74129.19983,36268881.99
IRL,2004,6865.772989,2997066.691
IRN,2004,276.0028258,62094.02228
IRQ,2004,4.421485863,1116.932328
ISR,2004,67.69178197,15258.67761
ITA,2004,17224.87734,4679665.002
JAM,2004,3901.152525,1898721.265
JEY,2004,1.164486755,361.7742818
JOR,2004,2.285148839,351.0368069
JPN,2004,37312.53504,14800690.28
KAZ,2004,5513.10185,1131109.328
KEN,2004,16988.3283,7606284.646
KGZ,2004,192.268986,41089.54979
KHM,2004,79250.90741,41080909.56
KNA,2004,25.0763394,10863.58792
KOR,2004,11406.23474,3072498.989
LAO,2004,64248.47656,32428920.88
LBN,2004,109.2798766,27114.25014
LBR,2004,6233.559719,2986125.15
LBY,2004,10.26316376,1892.889249
LCA,2004,40.20301619,18887.5133
LIE,2004,9.430858215,4553.649
LKA,2004,5599.447793,1853107.974
LSO,2004,4.377548763,1322.290188
LTU,2004,13100.96703,3633184.652
LUX,2004,311.4913424,152390.3457
LVA,2004,30638.90654,8119885.564
MAF,2004,1.611069718,616.8919893
MAR,2004,1440.577721,366924.9066
MDA,2004,264.0361809,70064.26948
MDG,2004,81845.25203,39742469.41
MDV,2004,2.372010473,212.465686
